familia;indice_fam;subposicion_1;subposicion_2;subposicion_3;subposicion_4;energia
38;1;0;2;1;2;1.4113300999999998
38;2;2;0;2;1;1.4113300999999998
38;3;2;1;2;0;1.4113300999999998
38;4;1;2;0;2;1.4113300999999998
39;1;0;2;1;3;2.4972225999999997
39;2;2;0;3;1;2.4972225999999997
39;3;3;1;2;0;2.4972226
39;4;1;3;0;2;2.4972226
40;1;0;2;1;4;3.9911319999999995
40;2;2;0;4;1;3.991132
40;3;4;1;2;0;3.991132
40;4;1;4;0;2;3.991132
41;1;0;2;1;5;5.357835799999999
41;2;2;0;5;1;5.3578358
41;3;5;1;2;0;5.3578358
41;4;1;5;0;2;5.3578358
42;1;0;2;2;2;0.1818135
42;2;2;0;2;2;0.1818135
42;3;2;2;2;0;0.1818135
42;4;2;2;0;2;0.1818135
43;1;0;2;2;3;1.267706
43;2;2;0;3;2;1.267706
43;3;3;2;2;0;1.267706
43;4;2;3;0;2;1.267706
44;1;0;2;2;4;2.7616153999999997
44;2;2;0;4;2;2.7616154
44;3;4;2;2;0;2.7616154
44;4;2;4;0;2;2.7616154
45;1;0;2;2;5;4.1283192
45;2;2;0;5;2;4.1283192
45;3;5;2;2;0;4.1283192
45;4;2;5;0;2;4.1283192
46;1;0;2;3;3;2.3535985000000004
46;2;2;0;3;3;2.3535985000000004
46;3;3;3;2;0;2.3535985000000004
46;4;3;3;0;2;2.3535985000000004
47;1;0;2;3;4;3.8475079
47;2;2;0;4;3;3.8475079
47;3;4;3;2;0;3.8475079
47;4;3;4;0;2;3.8475079
48;1;0;2;3;5;5.2142117
48;2;2;0;5;3;5.2142117
48;3;5;3;2;0;5.2142117
48;4;3;5;0;2;5.2142117
49;1;0;2;4;4;5.3414173
49;2;2;0;4;4;5.3414173
49;3;4;4;2;0;5.3414173
49;4;4;4;0;2;5.3414173
50;1;0;2;4;5;6.7081211
50;2;2;0;5;4;6.7081211
50;3;5;4;2;0;6.7081211
50;4;4;5;0;2;6.7081211
51;1;0;2;5;5;8.0748249
51;2;2;0;5;5;8.0748249
51;3;5;5;2;0;8.0748249
51;4;5;5;0;2;8.0748249
52;1;0;3;0;4;3.7869034
52;2;3;0;4;0;3.7869034
52;3;4;0;3;0;3.7869034
52;4;0;4;0;3;3.7869034
53;1;0;3;0;5;5.1536072
53;2;3;0;5;0;5.1536072
53;3;5;0;3;0;5.1536072
53;4;0;5;0;3;5.1536072
54;1;0;3;1;3;3.5831151
54;2;3;0;3;1;3.5831151
54;3;3;1;3;0;3.5831151
54;4;1;3;0;3;3.5831151
55;1;0;3;1;4;5.0770245
55;2;3;0;4;1;5.0770245
55;3;4;1;3;0;5.0770245
55;4;1;4;0;3;5.0770245
56;1;0;3;1;5;6.4437283
56;2;3;0;5;1;6.4437283
56;3;5;1;3;0;6.4437283
56;4;1;5;0;3;6.4437283
57;1;0;3;2;3;2.3535985000000004
57;2;3;0;3;2;2.3535985000000004
57;3;3;2;3;0;2.3535985000000004
57;4;2;3;0;3;2.3535985000000004
58;1;0;3;2;4;3.8475079
58;2;3;0;4;2;3.8475079
58;3;4;2;3;0;3.8475079
58;4;2;4;0;3;3.8475079
59;1;0;3;2;5;5.2142117
59;2;3;0;5;2;5.2142117
59;3;5;2;3;0;5.2142117
59;4;2;5;0;3;5.2142117
60;1;0;3;3;3;3.4394910000000003
60;2;3;0;3;3;3.4394910000000003
60;3;3;3;3;0;3.4394910000000003
60;4;3;3;0;3;3.4394910000000003
61;1;0;3;3;4;4.9334004
61;2;3;0;4;3;4.9334004
61;3;4;3;3;0;4.9334004
61;4;3;4;0;3;4.9334004
62;1;0;3;3;5;6.3001042
62;2;3;0;5;3;6.3001042
62;3;5;3;3;0;6.3001042
62;4;3;5;0;3;6.3001042
63;1;0;3;4;4;6.4273098
63;2;3;0;4;4;6.4273098
63;3;4;4;3;0;6.4273098
63;4;4;4;0;3;6.4273098
64;1;0;3;4;5;7.7940135999999995
64;2;3;0;5;4;7.7940135999999995
64;3;5;4;3;0;7.7940135999999995
64;4;4;5;0;3;7.7940135999999995
65;1;0;3;5;5;9.1607174
65;2;3;0;5;5;9.1607174
65;3;5;5;3;0;9.1607174
65;4;5;5;0;3;9.1607174
66;1;0;4;0;5;6.647516599999999
66;2;4;0;5;0;6.647516599999999
66;3;5;0;4;0;6.647516599999999
66;4;0;5;0;4;6.647516599999999
67;1;0;4;1;4;6.5709339
67;2;4;0;4;1;6.5709339
67;3;4;1;4;0;6.5709339
67;4;1;4;0;4;6.5709339
68;1;0;4;1;5;7.9376377
68;2;4;0;5;1;7.9376377
68;3;5;1;4;0;7.9376377
68;4;1;5;0;4;7.9376377
69;1;0;4;2;4;5.3414173
69;2;4;0;4;2;5.3414173
69;3;4;2;4;0;5.3414173
69;4;2;4;0;4;5.3414173
70;1;0;4;2;5;6.7081211
70;2;4;0;5;2;6.7081211
70;3;5;2;4;0;6.7081211
70;4;2;5;0;4;6.7081211
71;1;0;4;3;4;6.4273098
71;2;4;0;4;3;6.4273098
71;3;4;3;4;0;6.4273098
71;4;3;4;0;4;6.4273098
72;1;0;4;3;5;7.7940135999999995
72;2;4;0;5;3;7.7940135999999995
72;3;5;3;4;0;7.7940135999999995
72;4;3;5;0;4;7.7940135999999995
73;1;0;4;4;4;7.9212191999999995
73;2;4;0;4;4;7.9212191999999995
73;3;4;4;4;0;7.9212191999999995
73;4;4;4;0;4;7.9212191999999995
74;1;0;4;4;5;9.287923
74;2;4;0;5;4;9.287923
74;3;5;4;4;0;9.287923
74;4;4;5;0;4;9.287923
75;1;0;4;5;5;10.654626799999999
75;2;4;0;5;5;10.654626799999999
75;3;5;5;4;0;10.654626799999999
75;4;5;5;0;4;10.654626799999999
76;1;0;5;1;5;9.3043415
76;2;5;0;5;1;9.3043415
76;3;5;1;5;0;9.3043415
76;4;1;5;0;5;9.3043415
77;1;0;5;2;5;8.0748249
77;2;5;0;5;2;8.0748249
77;3;5;2;5;0;8.0748249
77;4;2;5;0;5;8.0748249
78;1;0;5;3;5;9.1607174
78;2;5;0;5;3;9.1607174
78;3;5;3;5;0;9.1607174
78;4;3;5;0;5;9.1607174
79;1;0;5;4;5;10.654626799999999
79;2;5;0;5;4;10.654626799999999
79;3;5;4;5;0;10.654626799999999
79;4;4;5;0;5;10.654626799999999
80;1;0;5;5;5;12.021330599999999
80;2;5;0;5;5;12.021330599999999
80;3;5;5;5;0;12.021330599999999
80;4;5;5;0;5;12.021330599999999
81;1;1;0;0;2;1.3507255999999999
81;2;0;1;2;0;1.3507255999999999
81;3;2;0;0;1;1.3507255999999999
81;4;0;2;1;0;1.3507255999999999
82;1;1;0;0;3;2.4366181
82;2;0;1;3;0;2.4366181
82;3;3;0;0;1;2.4366181
82;4;0;3;1;0;2.4366181
83;1;1;0;0;4;3.9305274999999997
83;2;0;1;4;0;3.9305274999999997
83;3;4;0;0;1;3.9305274999999997
83;4;0;4;1;0;3.9305274999999997
84;1;1;0;0;5;5.2972313
84;2;0;1;5;0;5.2972313
84;3;5;0;0;1;5.2972313
84;4;0;5;1;0;5.2972313
85;1;1;0;1;2;2.6408467
85;2;0;1;2;1;2.6408467
85;3;2;1;0;1;2.6408467
85;4;1;2;1;0;2.6408467
86;1;1;0;1;3;3.7267392
86;2;0;1;3;1;3.7267392
86;3;3;1;0;1;3.7267392
86;4;1;3;1;0;3.7267392
87;1;1;0;1;4;5.2206486
87;2;0;1;4;1;5.2206486
87;3;4;1;0;1;5.2206486
87;4;1;4;1;0;5.2206486
88;1;1;0;1;5;6.587352399999999
88;2;0;1;5;1;6.5873524
88;3;5;1;0;1;6.5873524
88;4;1;5;1;0;6.5873524
89;1;1;0;2;3;2.4972225999999997
89;2;0;1;3;2;2.4972226
89;3;3;2;0;1;2.4972225999999997
89;4;2;3;1;0;2.4972225999999997
90;1;1;0;2;4;3.9911319999999995
90;2;0;1;4;2;3.991132
90;3;4;2;0;1;3.991132
90;4;2;4;1;0;3.991132
91;1;1;0;2;5;5.357835799999999
91;2;0;1;5;2;5.3578358
91;3;5;2;0;1;5.3578358
91;4;2;5;1;0;5.3578358
92;1;1;0;3;4;5.0770245
92;2;0;1;4;3;5.0770245
92;3;4;3;0;1;5.0770245
92;4;3;4;1;0;5.0770245
93;1;1;0;3;5;6.4437283
93;2;0;1;5;3;6.4437283
93;3;5;3;0;1;6.4437283
93;4;3;5;1;0;6.4437283
94;1;1;0;4;5;7.9376377
94;2;0;1;5;4;7.9376377
94;3;5;4;0;1;7.9376377
94;4;4;5;1;0;7.9376377
95;1;1;1;0;2;2.6408467
95;2;1;1;2;0;2.6408467
95;3;2;0;1;1;2.6408467
95;4;0;2;1;1;2.6408467
96;1;1;1;0;3;3.7267392
96;2;1;1;3;0;3.7267392
96;3;3;0;1;1;3.7267392
96;4;0;3;1;1;3.7267392
97;1;1;1;0;4;5.2206486
97;2;1;1;4;0;5.2206486
97;3;4;0;1;1;5.2206486
97;4;0;4;1;1;5.2206486
98;1;1;1;0;5;6.587352399999999
98;2;1;1;5;0;6.587352399999999
98;3;5;0;1;1;6.5873524
98;4;0;5;1;1;6.5873524
99;1;1;1;1;2;3.9309678
99;2;1;1;2;1;3.9309678
99;3;2;1;1;1;3.9309678
99;4;1;2;1;1;3.9309678
100;1;1;1;1;3;5.016860299999999
100;2;1;1;3;1;5.016860299999999
100;3;3;1;1;1;5.016860299999999
100;4;1;3;1;1;5.016860299999999
