índice;subs posición 1;subs posición 2;subs posición 3;subs posición 4;Energia
198;2;3;4;5;3.60160716
199;2;3;5;5;7.033511335
200;2;4;0;5;17.44305236
201;2;4;1;5;9.995800785
202;2;4;2;5;4.21683326
203;2;4;3;4;5.213648385
204;2;4;3;5;2.536243935
205;2;4;4;4;8.912346735
206;2;4;4;5;6.650359835
207;2;4;5;5;22.01331683
208;2;5;3;5;1.015648285
209;2;5;4;5;8.08185676
210;2;5;5;5;12.88646739
211;3;0;0;4;2.44375671
212;3;0;0;5;1.760212802
213;3;0;1;3;2.840435228
214;3;0;1;4;3.935592153
215;3;0;1;5;4.35271211
216;3;0;2;3;1.381963333
217;3;0;2;4;5.318175453
218;3;0;2;5;2.801119215
219;3;0;3;4;4.032156245
220;3;0;3;5;2.252852385
221;3;0;4;5;4.226749015
222;3;1;0;4;3.616079193
223;3;1;0;5;3.084061475
224;3;1;1;4;4.407827945
225;3;1;1;5;5.00132372
226;3;1;2;3;1.504219157
227;3;1;2;4;3.347483465
228;3;1;2;5;5.01019406
229;3;1;3;4;6.01351636
230;3;1;3;5;4.383320932
231;3;1;4;5;6.377485185
232;3;2;0;4;2.650527373
233;3;2;0;5;1.181288833
234;3;2;1;4;2.68704599
235;3;2;1;5;2.866823485
236;3;2;2;4;1.500765397
237;3;2;2;5;1.17102356
238;3;2;3;4;4.171252915
239;3;2;3;5;2.068362365
240;3;2;4;5;2.28823711
241;3;3;0;4;3.841477192
242;3;3;0;5;3.098039665
243;3;3;1;4;6.25434835
244;3;3;1;5;6.582388407
245;3;3;2;4;5.090400483
246;3;3;2;5;4.763583422
247;3;3;3;4;5.03318315
248;3;3;3;5;3.230494875
249;3;3;4;5;4.170582745
250;3;4;0;5;3.764605933
251;3;4;1;5;7.679522585
252;3;4;2;5;3.479941185
253;3;4;3;5;2.836252313
254;3;4;4;4;7.79633171
255;3;4;4;5;5.250168885
256;3;4;5;5;6.31504266
257;3;5;4;5;5.599686385
258;3;5;5;5;29.50748659
259;4;0;0;5;0.813041713
260;4;0;1;4;5.66728947
261;4;0;1;5;4.445942295
262;4;0;2;4;5.68159145
263;4;0;2;5;2.47168046
264;4;0;3;4;4.676393553
265;4;0;3;5;1.455619283
266;4;0;4;5;4.456444135
267;4;1;0;5;2.43192457
268;4;1;1;5;5.386800735
269;4;1;2;4;5.539182835
270;4;1;2;5;3.16553231
271;4;1;3;4;7.96260415
