familia;indice_fam;subposicion_1;subposicion_2;subposicion_3;subposicion_4;energia
45;1;0;2;2;5;3.6059306
45;2;2;0;5;2;3.6059306
45;3;5;2;2;0;3.6059306
45;4;2;5;0;2;3.6059306
46;1;0;2;3;3;2.8289162
46;2;2;0;3;3;2.8289162
46;3;3;3;2;0;2.8289162
46;4;3;3;0;2;2.8289162
47;1;0;2;3;4;4.5503972
47;2;2;0;4;3;4.5503972
47;3;4;3;2;0;4.5503972
47;4;3;4;0;2;4.5503972
48;1;0;2;3;5;5.009564
48;2;2;0;5;3;5.009564
48;3;5;3;2;0;5.009564
48;4;3;5;0;2;5.009564
49;1;0;2;4;4;4.5746375
49;2;2;0;4;4;4.5746375
49;3;4;4;2;0;4.5746375
49;4;4;4;0;2;4.5746375
50;1;0;2;4;5;4.8396081
50;2;2;0;5;4;4.8396081
50;3;5;4;2;0;4.8396081
50;4;4;5;0;2;4.8396081
51;1;0;2;5;5;-2.2936235
51;2;2;0;5;5;-2.2936235
51;3;5;5;2;0;-2.2936235
51;4;5;5;0;2;-2.2936235
52;1;0;3;0;4;3.8938979
52;2;3;0;4;0;3.8938979
52;3;4;0;3;0;3.8938979
52;4;0;4;0;3;3.8938979
53;1;0;3;0;5;5.6472897
53;2;3;0;5;0;5.6472897
53;3;5;0;3;0;5.6472897
53;4;0;5;0;3;5.6472897
54;1;0;3;1;3;4.2138658
54;2;3;0;3;1;4.2138658
54;3;3;1;3;0;4.2138658
54;4;1;3;0;3;4.2138658
55;1;0;3;1;4;6.6291082
55;2;3;0;4;1;6.6291082
55;3;4;1;3;0;6.6291082
55;4;1;4;0;3;6.6291082
56;1;0;3;1;5;8.955781
56;2;3;0;5;1;8.955781
56;3;5;1;3;0;8.955781
56;4;1;5;0;3;8.955781
57;1;0;3;2;3;2.3798251
57;2;3;0;3;2;2.3798251
57;3;3;2;3;0;2.3798251
57;4;2;3;0;3;2.3798251
58;1;0;3;2;4;5.8175926
58;2;3;0;4;2;5.8175926
58;3;4;2;3;0;5.8175926
58;4;2;4;0;3;5.8175926
59;1;0;3;2;5;7.0508924
59;2;3;0;5;2;7.0508924
59;3;5;2;3;0;7.0508924
59;4;2;5;0;3;7.0508924
60;1;0;3;3;3;3.2032965
60;2;3;0;3;3;3.2032965
60;3;3;3;3;0;3.2032965
60;4;3;3;0;3;3.2032965
61;1;0;3;3;4;4.6938066
61;2;3;0;4;3;4.6938066
61;3;4;3;3;0;4.6938066
61;4;3;4;0;3;4.6938066
62;1;0;3;3;5;5.692557
62;2;3;0;5;3;5.692557
62;3;5;3;3;0;5.692557
62;4;3;5;0;3;5.692557
63;1;0;3;4;4;5.5431348
63;2;3;0;4;4;5.5431348
63;3;4;4;3;0;5.5431348
63;4;4;4;0;3;5.5431348
64;1;0;3;4;5;6.2174482
64;2;3;0;5;4;6.2174482
64;3;5;4;3;0;6.2174482
64;4;4;5;0;3;6.2174482
65;1;0;3;5;5;8.6170013
65;2;3;0;5;5;8.6170013
65;3;5;5;3;0;8.6170013
65;4;5;5;0;3;8.6170013
66;1;0;4;0;5;6.6173025
66;2;4;0;5;0;6.6173025
66;3;5;0;4;0;6.6173025
66;4;0;5;0;4;6.6173025
67;1;0;4;1;4;9.1145372
67;2;4;0;4;1;9.1145372
67;3;4;1;4;0;9.1145372
67;4;1;4;0;4;9.1145372
68;1;0;4;1;5;10.3316889
68;2;4;0;5;1;10.3316889
68;3;5;1;4;0;10.3316889
68;4;1;5;0;4;10.3316889
